sheet,pair,metric,d,p
TRAK isoform (mito),no TRAK vs TRAK2,maxip_y_sd_um,1.1514616544230531,0.02173328638522043
TRAK isoform (mito),no TRAK vs TRAK2,zsum_y_skew,0.6057882972281888,0.08054117602748878
TRAK isoform (mito),no TRAK vs TRAK2,maxip_y_skew,0.6552705327906074,0.019727443210178275
TRAK isoform (mito),no TRAK vs TRAK2,zsum_y_mean_um,-0.5249399451140466,0.25048787503190073
TRAK isoform (mito),no TRAK vs TRAK2,maxip_y_mean_um,-0.4715474038624587,0.3293623449476578
TRAK isoform (mito),no TRAK vs TRAK2,zsum_wedge_r_gini,-0.9429266918358992,0.20975112849583677
TRAK isoform (mito),no TRAK vs TRAK2,maxip_wedge_r_gini,-1.4596957301594686,0.003674741937506054
TRAK isoform (mito),no TRAK vs TRAK2,zsum_wedge_r_entropy,0.9086053174342514,0.19253473865768478
TRAK isoform (mito),no TRAK vs TRAK2,maxip_wedge_r_entropy,1.3553238086100612,0.0036956378301542525
TRAK isoform (mito),no TRAK vs TRAK2,zsum_wedge_r_ks_vs_uniform,-0.9090894247466815,0.13039588591567752
TRAK isoform (mito),no TRAK vs TRAK2,maxip_wedge_r_ks_vs_uniform,-0.9640946689744817,0.023801224783485342
TRAK isoform (mito),no TRAK vs TRAK2,zsum_wedge_r_sd_um,0.790578934450369,0.20629682538041882
TRAK isoform (mito),no TRAK vs TRAK2,maxip_wedge_r_sd_um,1.2027508093255528,0.02595630350318401
TRAK isoform (mito),no TRAK vs TRAK2,zsum_wedge_r_skew,-0.7320510502798497,0.07549016128768027
TRAK isoform (mito),no TRAK vs TRAK2,maxip_wedge_r_skew,-0.8835311931594529,0.007545002472243212
TRAK isoform (mito),no TRAK vs TRAK2,zsum_wedge_r_mean_um,0.5125670403471815,0.2804463850766844
TRAK isoform (mito),no TRAK vs TRAK2,maxip_wedge_r_mean_um,0.5020372504464944,0.2676728201577254
TRAK isoform (mito),no TRAK vs TRAK2,zsum_wedge_r_q25_um,0.3405433502114277,0.5024726661173735
TRAK isoform (mito),no TRAK vs TRAK2,maxip_wedge_r_q25_um,0.2505379758036248,0.6603792178233578
TRAK isoform (mito),no TRAK vs TRAK2,zsum_wedge_r_q50_um,0.532590232021322,0.3033197741942316
TRAK isoform (mito),no TRAK vs TRAK2,maxip_wedge_r_q50_um,0.5968550832778614,0.21382181481276297
TRAK isoform (mito),no TRAK vs TRAK2,zsum_wedge_r_q75_um,0.7511144343248825,0.17417570638125146
TRAK isoform (mito),no TRAK vs TRAK2,maxip_wedge_r_q75_um,0.9183185703381056,0.03965837731880073
