sheet,pair,metric,d,p
TRAK2 helix muts,TRAK2 vs TRAK2 mDRH,zsum_wedge_r_ks_vs_uniform,-0.3300515964686839,0.33522182956103586
TRAK2 helix muts,TRAK2 vs TRAK2 mDRH,maxip_wedge_r_ks_vs_uniform,-0.33918100510908494,0.25016802295346485
TRAK2 helix muts,TRAK2 mDRH vs TRAK2 mDRH mSpindly,zsum_wedge_r_ks_vs_60merNoTRAK,1.444589230250528,0.00041437523384779684
TRAK2 helix muts,TRAK2 mDRH vs TRAK2 mDRH mSpindly,maxip_wedge_r_ks_vs_60merNoTRAK,1.6204770632401306,0.00008984697264780017
TRAK2 helix muts,TRAK2 mDRH vs TRAK2 mDRH mSpindly,zsum_wedge_r_ks_vs_uniform,1.6538801439670916,0.0001450836502440156
TRAK2 helix muts,TRAK2 mDRH vs TRAK2 mDRH mSpindly,maxip_wedge_r_ks_vs_uniform,1.542408777340271,0.00011401654976361808
MAPK9 siRNA,ctrl ctrl vs ctrl Ars,zsum_wedge_r_ks_vs_60merNoTRAK,-0.6733344079699806,0.04772234892391214
MAPK9 siRNA,ctrl ctrl vs ctrl Ars,maxip_wedge_r_ks_vs_60merNoTRAK,-1.0693128416596014,0.009943816146677609
MAPK9 siRNA,ctrl ctrl vs ctrl Ars,zsum_wedge_r_ks_vs_uniform,-0.9488940939872129,0.02560901327664966
MAPK9 siRNA,ctrl ctrl vs ctrl Ars,maxip_wedge_r_ks_vs_uniform,-1.1091459310799625,0.008074514132969779
MAPK9 siRNA,ctrl ctrl vs MAPK9 ctrl,zsum_wedge_r_ks_vs_60merNoTRAK,-0.23822429548063992,0.7197235166106308
MAPK9 siRNA,ctrl ctrl vs MAPK9 ctrl,maxip_wedge_r_ks_vs_60merNoTRAK,-0.29047605080732186,0.7337678246224797
MAPK9 siRNA,ctrl ctrl vs MAPK9 ctrl,zsum_wedge_r_ks_vs_uniform,-0.2767941247133481,0.6885056515971681
MAPK9 siRNA,ctrl ctrl vs MAPK9 ctrl,maxip_wedge_r_ks_vs_uniform,-0.31263648873612165,0.7050996104568148
MAPK9 siRNA,MAPK9 ctrl vs MAPK9 Ars,zsum_wedge_r_ks_vs_60merNoTRAK,-0.4672208452606348,0.16362697924780711
MAPK9 siRNA,MAPK9 ctrl vs MAPK9 Ars,maxip_wedge_r_ks_vs_60merNoTRAK,-0.6035408249370503,0.14360944490789485
MAPK9 siRNA,MAPK9 ctrl vs MAPK9 Ars,zsum_wedge_r_ks_vs_uniform,-0.5707336055073005,0.14641555370568105
MAPK9 siRNA,MAPK9 ctrl vs MAPK9 Ars,maxip_wedge_r_ks_vs_uniform,-0.6459154849280131,0.12861689868491266
