plate,well,condition,cell,raw_zsum_y_gini,den_zsum_y_gini,delta_zsum_y_gini,raw_maxip_y_gini,den_maxip_y_gini,delta_maxip_y_gini,raw_zsum_wedge_r_gini,den_zsum_wedge_r_gini,delta_zsum_wedge_r_gini,raw_maxip_wedge_r_gini,den_maxip_wedge_r_gini,delta_maxip_wedge_r_gini,raw_zsum_wedge_r_entropy,den_zsum_wedge_r_entropy,delta_zsum_wedge_r_entropy,raw_maxip_wedge_r_entropy,den_maxip_wedge_r_entropy,delta_maxip_wedge_r_entropy,raw_zsum_wedge_r_sd_um,den_zsum_wedge_r_sd_um,delta_zsum_wedge_r_sd_um,raw_maxip_wedge_r_sd_um,den_maxip_wedge_r_sd_um,delta_maxip_wedge_r_sd_um,raw_zsum_perinuclear_5um_pct,den_zsum_perinuclear_5um_pct,delta_zsum_perinuclear_5um_pct,raw_maxip_perinuclear_5um_pct,den_maxip_perinuclear_5um_pct,delta_maxip_perinuclear_5um_pct,raw_zsum_peripheral_5um_pct,den_zsum_peripheral_5um_pct,delta_zsum_peripheral_5um_pct,raw_maxip_peripheral_5um_pct,den_maxip_peripheral_5um_pct,delta_maxip_peripheral_5um_pct,raw_wedge_opening_deg,den_wedge_opening_deg,delta_wedge_opening_deg,raw_nuc_area_um2,den_nuc_area_um2,delta_nuc_area_um2,raw_nuc_solidity,den_nuc_solidity,delta_nuc_solidity
3,B02,no TRAK,cell5,0.5902900351780015,0.5450929331122217,-0.04519710206577976,0.502891422348391,0.5048444645408853,0.0019530421924942587,0.6005968792689748,0.5605933548897966,-0.0400035243791782,0.5238299070192026,0.5239726595707465,0.00014275255154383437,3.460443236031665,3.5478012017308274,0.08735796569916232,3.6188184412720186,3.618038263893261,-0.0007801773787576849,8.655660282947334,9.27028540922656,0.6146251262792255,10.531354539868342,10.55502744262631,0.023672902757967407,51.32643440905559,50.65889308835027,-0.6675413207053182,43.75666366824613,43.62877077867027,-0.12789288957585399,3.8442035860442787,5.282751880213408,1.4385482941691294,8.952332904378055,8.98502186078779,0.032688956409733905,45.346713802045976,45.346713802045976,0.0,153.515375,153.811125,0.2957499999999982,0.9423221556575637,0.947405402591995,0.005083246934431296
3,B04,TRAK2,cell1,0.7595987235216286,0.7139951283984509,-0.04560359512317769,0.697179599733861,0.6992382364666331,0.002058636732772068,0.7542378216558868,0.7088498165157789,-0.04538800514010788,0.6927123258261202,0.6946005336736896,0.0018882078475693787,2.963353181626672,3.140263639220514,0.17691045759384183,3.178666875010252,3.1712921435329333,-0.007374731477318708,5.477333419841477,6.4073107136455665,0.9299772938040896,6.492509716523252,6.447270143397227,-0.045239573126025334,82.6156354202295,81.79350645719484,-0.8221289630346575,82.0057115079277,82.06000359569857,0.05429208777087524,0.26331790675140154,1.4036412711644641,1.1403233644130626,1.4212265890637636,1.3611724775964607,-0.060054111467302995,45.346713802045976,45.346713802045976,0.0,171.61105,171.67865,0.06759999999999877,0.9711416616855948,0.9741561181434599,0.0030144564578651334
3,B03,TRAK1,cell7,0.6757932695367714,0.6545963694807148,-0.021196900056056678,0.6478697351153108,0.6499546536840493,0.002084918568738492,0.6785401851266292,0.656496252691834,-0.022043932434795188,0.6491034290292128,0.6520577348891002,0.0029543058598874294,3.1973395191447533,3.273786257770939,0.07644673862618578,3.2877446009157434,3.279643436491714,-0.008101164424029417,6.072142843782275,6.530912214636213,0.458769370853938,6.741097723312272,6.699270060020106,-0.041827663292166584,62.38731698811972,60.12116829492407,-2.266148693195653,55.621394287288894,55.703148107421484,0.08175382013259025,19.066603325041076,24.29655776226321,5.229954437222133,25.99577613811738,28.14596172096675,2.1501855828493674,45.346713802045976,45.346713802045976,0.0,142.86837500000001,143.56550000000001,0.6971249999999998,0.9245386192754613,0.9310099183516906,0.006471299076229231
9_good,C04,TRAK2,Cell5,0.786131074214747,0.709205878774025,-0.07692519544072207,0.7200693584976207,0.7204135183408629,0.00034415984324220883,0.7875012753134141,0.7097361063443086,-0.07776516896910546,0.7251949441093194,0.7255008346374696,0.0003058905281502211,2.8061675857181343,3.1431836160009308,0.3370160302827965,3.089439063983507,3.0883407409682913,-0.0010983230152157297,4.362622355976942,6.01931348359978,1.656691127622838,6.348829337106159,6.350009014688712,0.0011796775825523298,88.6272971966199,76.51410678662991,-12.113190409989997,77.80121963241929,75.46351199259723,-2.3377076398220566,1.5609792407860936,4.913717341095995,3.3527381003099013,8.006393887101556,8.19165004085789,0.18525615375633464,45.346713802045976,45.346713802045976,0.0,130.69192500000003,133.31565,2.623724999999979,0.8927272727272727,0.9431210210120453,0.05039374828477261
11_good,F05,TRAK2,Cell9,0.8128240030875513,0.6830419341549662,-0.12978206893258515,0.6453704694810525,0.6437470298922066,-0.0016234395888459208,0.8127870655795627,0.6853123557820764,-0.12747470979748632,0.6509997193126466,0.6497382406950961,-0.0012614786175504378,2.7040660717985863,3.228162209359788,0.5240961375612017,3.3248840490279647,3.3284750114168253,0.0035909623888605857,4.246937939613195,7.060491933411322,2.813553993798127,7.933856592015224,7.963085346067646,0.02922875405242209,89.34181850154397,74.67118914073792,-14.670629360806046,71.00284830158049,70.78077131069645,-0.22207699088403388,5.373549403309587,15.330553821987177,9.95700441867759,19.893723174377733,20.008371354584504,0.11464818020677114,45.346713802045976,45.346713802045976,0.0,167.52547500000003,167.92685000000003,0.4013750000000016,0.9773237041236351,0.986522375834595,0.009198671710959894
