sheet,metric,pair,n_i,n_j,mean_i,mean_j,diff,cohens_d,f_classical,p_classical_anova,t_classical_pair,p_classical_sidak,p_mixedlm_joint,p_mixedlm_sidak,var_plate,var_resid
TRAK1 helix muts,raw_perinuclear_1um,T1 wt vs T1 mDRH,26,19,25.34743019407665,27.995488454743754,-2.648058260667103,-0.21180808284248184,0.27473911325618505,0.7688358805880958,-0.6004873550727939,0.5701520908457152,0.732587654733019,0.5223523034423105,0.2822426644042298,179.70594887682347
TRAK1 helix muts,raw_peripheral_1um,T1 wt vs T1 mDRH,26,19,0.7209985808409418,0.06174360957365249,0.6592549712672893,0.7468668316428833,3.1985567434620417,0.1133684008181704,2.4265521601036557,0.0514028909484906,0.2800333569605511,0.1519249442327183,1.7875373114025803e-36,0.6389602650491757
TRAK1 helix muts,den_perinuclear_1um,T1 wt vs T1 mDRH,26,19,24.625108056427944,27.964228641960887,-3.3391205855329424,-0.314327883251746,0.7062724498592043,0.5303367710645001,-0.849633484288085,0.42812272117586736,0.46446523716805765,0.3626945135151931,4.792645909813962,133.67452568606626
TRAK1 helix muts,den_peripheral_1um,T1 wt vs T1 mDRH,26,19,1.3435366911930149,0.29344831672095983,1.050088374472055,1.1084576985098875,22.02121056747709,0.0017236092292931716,6.221112985161428,0.0007970556951339969,0.000069060950149223,0.000045843817303770074,3.727777301832732e-6,0.7323711399929386
TRAK1 helix muts,raw_perinuclear_2um,T1 wt vs T1 mDRH,26,19,35.835966373932415,41.29555018373624,-5.459583809803824,-0.34273060605303424,0.6271739952275602,0.5657943375135267,-0.988674710660729,0.36100063678814065,0.49557023709645276,0.2904805332023004,12.976746621824065,251.39759254884257
TRAK1 helix muts,raw_peripheral_2um,T1 wt vs T1 mDRH,26,19,1.6513120587558243,0.16427694372708848,1.4870351150287358,0.8532965334833394,3.7681011901524726,0.08708898609666438,2.592114192150443,0.04109505733701391,0.04410175255187661,0.017532720900570564,0.2272971558217749,2.1642457141893163
TRAK1 helix muts,den_perinuclear_2um,T1 wt vs T1 mDRH,26,19,34.17561266174933,40.13098760517757,-5.955374943428247,-0.4376610295845885,1.129694051341992,0.38336294250911535,-1.2184907497042714,0.2687698856466516,0.29364950683825936,0.19544190788025906,11.146719156726622,191.1861030647666
TRAK1 helix muts,den_peripheral_2um,T1 wt vs T1 mDRH,26,19,2.885342984872807,0.6603137435693014,2.2250292413035053,1.207717781282234,33.44938424321646,0.0005575620115360644,7.537701756003052,0.0002826689333429444,8.489747291024184e-6,8.49952575621149e-6,0.000012472436964258329,2.742286827326909
TRAK1 helix muts,raw_perinuclear_3um,T1 wt vs T1 mDRH,26,19,45.51593002188427,53.91716026541074,-8.40123024352647,-0.46049869694833123,1.0759159086260335,0.39873845157613264,-1.3378936694647607,0.22940572593256747,0.3053816532442338,0.15748962973828107,20.325812735005194,301.4673150952437
TRAK1 helix muts,raw_peripheral_3um,T1 wt vs T1 mDRH,26,19,2.941398132350945,0.33524206116280664,2.6061560711881384,1.0358071960162951,4.419064159750129,0.06611749386327354,2.785464967193998,0.03176702572155998,0.02798165739071504,0.011573230162820303,0.7630705768506062,4.319479564472298
TRAK1 helix muts,den_perinuclear_3um,T1 wt vs T1 mDRH,26,19,43.11201466899096,51.83365785425136,-8.721643185260405,-0.552721378515758,1.647194380135213,0.26902413850730517,-1.5683468092621509,0.1678480661461984,0.16933966667099815,0.09891752691353495,17.01125131447697,232.00194197795167
TRAK1 helix muts,den_peripheral_3um,T1 wt vs T1 mDRH,26,19,4.754590763506958,1.1141869995800293,3.640403763926929,1.3763882646305692,39.62705512356514,0.00034858425947251155,8.187390129899917,0.00017889404214321836,2.4214901331785483e-7,3.4121155589872387e-7,0.000029668991329512146,5.7070926511548725
TRAK1 helix muts,raw_perinuclear_4um,T1 wt vs T1 mDRH,26,19,53.958480053849556,64.79124622031787,-10.832766166468318,-0.5677088467131864,1.5623168941054795,0.2843200070132418,-1.5922363436374445,0.16243816246171927,0.17875025744748507,0.09237980763896148,28.62043169465957,316.89756889063597
