sheet,condition,plate,well,cell_idx,raw_perinuclear_1um,raw_peripheral_1um,den_perinuclear_1um,den_peripheral_1um,raw_perinuclear_2um,raw_peripheral_2um,den_perinuclear_2um,den_peripheral_2um,raw_perinuclear_3um,raw_peripheral_3um,den_perinuclear_3um,den_peripheral_3um,raw_perinuclear_4um,raw_peripheral_4um,den_perinuclear_4um,den_peripheral_4um,raw_perinuclear_5um,raw_peripheral_5um,den_perinuclear_5um,den_peripheral_5um,raw_perinuclear_bin_0_1,raw_perinuclear_bin_1_2,raw_perinuclear_bin_2_3,raw_perinuclear_bin_3_4,raw_perinuclear_bin_4_5,raw_peripheral_bin_0_1,raw_peripheral_bin_1_2,raw_peripheral_bin_2_3,raw_peripheral_bin_3_4,raw_peripheral_bin_4_5,den_perinuclear_bin_0_1,den_perinuclear_bin_1_2,den_perinuclear_bin_2_3,den_perinuclear_bin_3_4,den_perinuclear_bin_4_5,den_peripheral_bin_0_1,den_peripheral_bin_1_2,den_peripheral_bin_2_3,den_peripheral_bin_3_4,den_peripheral_bin_4_5,raw_midcyto_pct,raw_peri_over_nuc,raw_peri_minus_nuc,raw_log2_peri_over_nuc,raw_peripheral_share_pct,raw_polarization_angle_deg,raw_perinuclear_concentration,raw_peripheral_concentration,raw_perinuclear_inner_outer_ratio,den_midcyto_pct,den_peri_over_nuc,den_peri_minus_nuc,den_log2_peri_over_nuc,den_peripheral_share_pct,den_polarization_angle_deg,den_perinuclear_concentration,den_peripheral_concentration,den_perinuclear_inner_outer_ratio
TRAK isoform (mito),no TRAK,250612_patterned_plate_3,B02,0,22.09783998218891,1.2885592983084535,22.495092822768186,2.8975874954286356,32.880826853529726,3.0253560984337398,32.13274499974885,6.04672813971669,42.981451827003625,5.2346047406070175,41.24625846968044,9.570541535725098,54.01339921596053,7.864564478107983,51.002548440081256,13.114065107142203,63.405373324004664,12.253092857318787,59.56141950240104,17.896202725199586,22.09783998218891,10.782986871340817,10.100624973473899,11.031947388956908,9.391974108044131,1.2885592983084535,1.7367968001252863,2.2092486421732778,2.6299597375009656,4.388528379210804,22.495092822768186,9.637652176980666,9.11351346993159,9.756289970400815,8.558871062319781,2.8975874954286356,3.149140644288054,3.523813396008409,3.5435235714171043,4.782137618057384,24.34153381867655,0.19325007037671105,-51.15228046668588,-2.3713641721640064,16.195269975194858,10.937586611806122,0.34851683419509755,0.1051619630413258,2.35284294075188,22.542377772399377,0.30046635681974787,-41.66521677720145,-1.7346682426974476,23.104508259216292,16.723755102475714,0.37767892387930224,0.16191074384660614,2.6282780353093527
TRAK isoform (mito),no TRAK,250612_patterned_plate_3,B02,1,12.362343476093091,0.9762770544218078,13.304828999791605,1.4778570583276784,21.372975995878456,1.8401265178145558,21.852816320696615,2.810735809686745,31.810184695568744,3.7250976541682412,31.702817851341898,5.05245135149451,41.70078697772892,5.904918202407219,41.07595670067934,7.504461249201166,52.23584192336842,8.869998228511182,51.02642326165912,10.624729345174968,12.362343476093091,9.010632519785364,10.437208699690288,9.890602282160174,10.535054945639502,0.9762770544218078,0.863849463392748,1.8849711363536854,2.179820548238978,2.965080026103963,13.304828999791605,8.54798732090501,9.850001530645283,9.373138849337444,9.950466560979777,1.4778570583276784,1.3328787513590665,2.2417155418077654,2.452009897706656,3.1202680959738016,38.894159848120395,0.16980674383221267,-43.36584369485723,-2.557899317481826,14.515794572694677,9.63728322432853,0.2366640035015108,0.1100650788377451,1.1734484099711755,38.34884739316591,0.20822014685379864,-40.40169391648415,-2.2637109210320925,17.233626454252,11.762073447212375,0.2607439077456956,0.13909597225266968,1.3371060459243866
TRAK isoform (mito),no TRAK,250612_patterned_plate_3,B02,2,18.099016524790425,1.4794335693800296,18.372191939145267,2.191266996314682,26.19966993628051,3.402298581882035,26.099173292466627,4.78272323285618,33.01344202400867,6.552429156229736,32.66297756597671,8.314625630716844,39.64194726308645,10.555054595047803,38.99044663598861,12.53017729832032,46.16712030422842,15.649091644396758,45.221426311823706,17.614713905180537,18.099016524790425,8.100653411490086,6.813772087728157,6.628505239077782,6.525173041141969,1.4794335693800296,1.9228650125020055,3.150130574347701,4.002625438818067,5.094037049348955,18.372191939145267,7.72698135332136,6.563804273510083,6.327469070011901,6.230979675835094,2.191266996314682,2.5914562365414984,3.531902397860663,4.215551667603476,5.084536606860217,38.18378805137482,0.33896616338499463,-30.51802865983166,-1.560725890110151,25.31551376384791,18.724919985337515,0.39203260686676866,0.0945379836033621,2.7737220772384603,37.16385978299576,0.38952141366194437,-27.60671240664317,-1.3601754553012266,28.03277515784372,21.281978897018973,0.4062718369839511,0.12439980620666365,2.9485238103805
TRAK isoform (mito),no TRAK,250612_patterned_plate_3,B02,3,21.430590027171302,0.6144654188183117,22.15626336135903,0.9646452389059241,29.502134932714196,1.5158870128507747,29.92976340525612,2.246492554109807,36.92114248895555,2.700682033878524,37.01943746886434,3.7988612681654583,44.85215271784431,3.3477891190045557,44.518860191201675,4.605500004746686,51.36275558125747,3.8801287747936,50.683846138060495,5.32550537684408,21.430590027171302,8.071544905542893,7.4190075562413575,7.931010228888759,6.510602863413155,0.6144654188183117,0.9014215940324629,1.1847950210277494,0.6471070851260317,0.5323396557890443,22.15626336135903,7.773500043897091,7.089674063608218,7.499422722337336,6.16498594685882,0.9646452389059241,1.2818473152038827,1.5523687140556515,0.8066387365812275,0.7200053720973942,44.757115643948936,0.07554362554749565,-47.48262680646387,-3.7262024850849222,7.023762100681027,4.3201252951948845,0.4172398810038571,0.15836212000274025,3.291644487227219,43.99064848509543,0.10507303179463873,-45.35834076121642,-3.2502932491756775,9.508243235652952,5.998231701224822,0.43714644900012584,0.1811368443864835,3.5938870824278504
TRAK isoform (mito),no TRAK,250612_patterned_plate_3,B02,4,29.893410326033703,2.994483945636968,29.150265784921075,3.3555993512272635,38.02865229367708,4.978523807862071,37.023678981826734,5.839946538758908,45.038315647270935,7.454501143307561,43.880963689678474,8.725740782697642,52.26678879133541,10.272813410191185,50.84699552667688,11.854278574828456,59.6544271131781,13.87174040010237,57.93107061113745,15.640905661463778,29.893410326033703,8.135241967643374,7.009663353593858,7.228473144064473,7.387638321842694,2.994483945636968,1.9840398622251025,2.4759773354454904,2.8183122668836242,3.5989269899111846,29.150265784921075,7.873413196905659,6.85728470785174,6.966031836998404,7.084075084460572,3.3555993512272635,2.4843471875316445,2.885794243938734,3.128537792130814,3.786627086635322,26.47383248671953,0.23253496967713677,-45.782686713075734,-2.1044005885178496,18.86639936374782,13.09063363649934,0.5011096706840877,0.21586937608773302,4.0464095587358155,26.428023727398774,0.26999165553461685,-42.290164949673674,-1.8889459431773497,21.25932515839727,15.109129504246777,0.5031887979438385,0.21453996486151586,4.114900736265398
TRAK isoform (mito),no TRAK,250612_patterned_plate_3,B02,5,20.596656029731946,0.02862872119461641,21.83981861770595,0.522003379808782,34.29573117398061,0.10175881964152685,34.20773206150093,1.0998607245230319,46.08779194466933,0.7436558089297601,44.96622901118524,2.310697834814473,56.11638101969856,2.1732745836880207,54.2532227840542,4.370054926676413,66.17629753151246,4.55186522341302,63.542599401583644,7.232556852593035,20.596656029731946,13.699075144248667,11.792060770688714,10.028589075029231,10.059916511813903,0.02862872119461641,0.07313009844691043,0.6418969892882332,1.4296187747582607,2.378590639724999,21.83981861770595,12.367913443794976,10.758496949684314,9.28699377286896,9.289376617529442,0.522003379808782,0.5778573447142499,1.210837110291441,2.0593570918619397,2.8625019259166224,29.27183724507452,0.06878392102817002,-61.62443230809944,-3.8614897202200855,6.435718172294349,3.9348306564815045,0.31123917169304904,0.006289448343301551,2.047398306287809,29.22484374582332,0.11382217473934438,-56.31004254899061,-3.134969690861858,10.219061652815533,6.49358394165499,0.3437035756018811,0.07217411357775333,2.3510531992149235
TRAK isoform (mito),no TRAK,250612_patterned_plate_3,B02,6,28.461519181063604,0.06353795066327138,27.43044145999192,0.49973849585061,37.50603048286001,0.23460487582802114,36.1315127598185,1.0780728652067968,45.79317633661428,0.5898301478616262,44.25802294586196,1.9233941520539661,52.63807377293983,1.4370793037939338,51.08055502572234,3.2759041233370665,59.3466578443793,3.269374819844774,57.67601246009569,5.489195802416833,28.461519181063604,9.044511301796408,8.287145853754268,6.844897436325553,6.708584071439468,0.06353795066327138,0.17106692516474975,0.3552252720336051,0.8472491559323075,1.83229551605084,27.43044145999192,8.70107129982658,8.126510186043461,6.82253207986038,6.595457434373351,0.49973849585061,0.5783343693561869,0.8453212868471693,1.3525099712831004,2.2132916790797665,37.38396733577593,0.05508945134472009,-56.07728302453453,-4.181663196468144,5.221306238490787,3.153205802084438,0.47958082585234585,0.019434281520175716,4.242552358848807,36.83479173748748,0.09517294223693898,-52.18681665767886,-3.3930669305902406,8.690220381316585,5.436632571256968,0.47559531752467504,0.09104038437461826,4.158989991031479
TRAK isoform (mito),no TRAK,250710_patterned_plate_9_good,C02,0,,,,,,,,,,,,,,,,,79.5989620553627,0.5597671508500375,75.93132737936777,3.806517747537498,,,,,,,,,,,,,,,,,,,,,19.841270793787256,0.0070323423369977565,-79.03919490451267,-7.14922209255767,0.6983233845973561,0.40291689415968984,,,,20.26215487309473,0.05013105761300944,-72.12480963183027,-4.31779156196091,4.773790590191606,2.869895499401379,,,
TRAK isoform (mito),no TRAK,250710_patterned_plate_9_good,C02,1,,,,,,,,,,,,,,,,,77.96246696420347,3.8789433686976125,68.87215737054578,11.165386324770859,,,,,,,,,,,,,,,,,,,,,18.158589667098916,0.049753984445218724,-74.08352359550585,-4.328690747121329,4.739585196384184,2.8483445521388817,,,,19.962456304683364,0.16211756319083723,-57.70677104577492,-2.624779441216782,13.950186136565176,9.208536665164786,,,
TRAK isoform (mito),no TRAK,250710_patterned_plate_9_good,C02,2,,,,,,,,,,,,,,,,,89.18671161702785,0.1697181143512891,78.98227841312546,2.4625176396275785,,,,,,,,,,,,,,,,,,,,,10.643570268620858,0.001902952931801815,-89.01699350267657,-9.02908499124257,0.18993385798827428,0.10903103999559821,,,,18.555203947246966,0.03117810335523536,-76.51976077349788,-5.00275554498507,3.02354202962499,1.785795243611486,,,
